[Sun Jan 17 21:50:52.930230 2021] [proxy_fcgi:error] [pid 3680:tid 1388] (70007)The timeout specified has expired: [client 127.0.0.1:60382] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Mon Jan 18 00:17:23.451247 2021] [proxy_fcgi:error] [pid 8752:tid 1396] (70007)The timeout specified has expired: [client 127.0.0.1:51484] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Mon Jan 18 00:19:23.456346 2021] [proxy_fcgi:error] [pid 8752:tid 1396] (70007)The timeout specified has expired: [client 127.0.0.1:51487] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Mon Jan 18 00:25:44.843248 2021] [proxy_fcgi:error] [pid 8752:tid 1376] (70007)The timeout specified has expired: [client 127.0.0.1:51522] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Mon Jan 18 00:26:22.854376 2021] [proxy_fcgi:error] [pid 8752:tid 1396] (70007)The timeout specified has expired: [client 127.0.0.1:51530] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=woocommerce&tab=search&type=term
[Mon Jan 18 16:35:25.537684 2021] [proxy_fcgi:error] [pid 12248:tid 1392] (70007)The timeout specified has expired: [client 127.0.0.1:57874] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=seo&tab=search&type=term
[Mon Jan 18 21:57:10.484701 2021] [proxy_fcgi:error] [pid 9152:tid 1360] (70007)The timeout specified has expired: [client 127.0.0.1:60383] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php
[Mon Jan 18 21:57:49.810144 2021] [proxy_fcgi:error] [pid 9152:tid 1344] (70007)The timeout specified has expired: [client 127.0.0.1:60391] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php
[Mon Jan 18 21:58:31.930858 2021] [proxy_fcgi:error] [pid 9152:tid 1360] (70007)The timeout specified has expired: [client 127.0.0.1:60396] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/update.php?action=upload-plugin
[Mon Jan 18 21:59:35.460781 2021] [proxy_fcgi:error] [pid 9152:tid 1360] (70007)The timeout specified has expired: [client 127.0.0.1:60400] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php
[Mon Jan 18 22:00:24.827154 2021] [access_compat:error] [pid 9152:tid 1360] [client 127.0.0.1:60434] AH01797: client denied by server configuration: C:/Users/utilisateur/Local Sites/chic-warda/app/public/wp-content/uploads/woocommerce_uploads/, referer: http://chic-warda.local/wp-content/uploads/woocommerce_uploads/
[Mon Jan 18 23:34:28.786146 2021] [proxy_fcgi:error] [pid 9152:tid 1372] [client 127.0.0.1:63726] AH01067: Failed to read FastCGI header, referer: http://chic-warda.local/wp-cron.php?doing_wp_cron=1611009266.0306529998779296875000
[Mon Jan 18 23:34:28.786146 2021] [proxy_fcgi:error] [pid 9152:tid 1388] [client 127.0.0.1:63729] AH01067: Failed to read FastCGI header, referer: http://chic-warda.local/wp-admin/post.php?post=161&action=edit
[Mon Jan 18 23:34:28.786146 2021] [proxy_fcgi:error] [pid 9152:tid 1388] (OS 10054)Une connexion existante a dû être fermée par l’hôte distant.  : [client 127.0.0.1:63729] AH01075: Error dispatching request to :10010: , referer: http://chic-warda.local/wp-admin/post.php?post=161&action=edit
[Mon Jan 18 23:34:28.786146 2021] [proxy_fcgi:error] [pid 9152:tid 1372] (OS 10054)Une connexion existante a dû être fermée par l’hôte distant.  : [client 127.0.0.1:63726] AH01075: Error dispatching request to :10010: , referer: http://chic-warda.local/wp-cron.php?doing_wp_cron=1611009266.0306529998779296875000
[Tue Jan 19 12:02:24.614819 2021] [proxy_fcgi:error] [pid 12792:tid 1364] (70007)The timeout specified has expired: [client 127.0.0.1:61190] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-admin/plugin-install.php?s=WPForms%20Lite&tab=search&type=term
[Tue Jan 19 12:02:25.773966 2021] [proxy_fcgi:error] [pid 12792:tid 1376] (70007)The timeout specified has expired: [client 127.0.0.1:61194] AH01075: Error dispatching request to :10010: (polling), referer: http://chic-warda.local/wp-cron.php?doing_wp_cron=1611054085.7605230808258056640625
